"MaterialID","MaterialName","Thickness","Width","Size","Material","MaterialStandardPrice","UnitOfMeasure","MaterialType"
"3/4410CHE","3/4in X 4in X 10ft  Cherry","3/4","4","3/4in X 4in X 10ft","Cherry",15.0,"bdft","Wood"
"1-1/21016WAL","1-1/2in X 10in X 16ft  Walnut","1-1/2","10","1-1/2in X 10in X 16ft","Walnut",108.0,"bdft","Wood"
"3/8216BIR","3/8in X 2in X 16ft  Birch","3/8","2","3/8in X 2in X 16ft","Birch",3.6,"bdft","Wood"
"5/41210ASH","5/4in X 12in X 10ft  Ash","5/4","12","5/4in X 12in X 10ft","Ash",52.5,"bdft","Wood"
"1/2104CHE","1/2in X 10in X 4ft  Cherry","1/2","10","1/2in X 10in X 4ft","Cherry",10.0,"bdft","Wood"
"1-1/2316PIN","1-1/2in X 3in X 16ft  Pine","1-1/2","3","1-1/2in X 3in X 16ft","Pine",18.0,"bdft","Wood"
"1/4612OAK","1/4in X 6in X 12ft  Oak","1/4","6","1/4in X 6in X 12ft","Oak",7.2,"bdft","Wood"
"1/2108PIN","1/2in X 10in X 8ft  Pine","1/2","10","1/2in X 10in X 8ft","Pine",10.0,"bdft","Wood"
"438WAL","4in X 3in X 8ft  Walnut","4","3","4in X 3in X 8ft","Walnut",54.0,"bdft","Wood"
"12416OAK","12in X 4in X 16ft  Oak","12","4","12in X 4in X 16ft","Oak",384.0,"bdft","Wood"
"101216BIR","10in X 12in X 16ft  Birch","10","12","10in X 12in X 16ft","Birch",720.0,"bdft","Wood"
"3/41010OAK","3/4in X 10in X 10ft  Oak","3/4","10","3/4in X 10in X 10ft","Oak",30.0,"bdft","Wood"
"5/81210OAK","5/8in X 12in X 10ft  Oak","5/8","12","5/8in X 12in X 10ft","Oak",27.6,"bdft","Wood"
"3/8616BIR","3/8in X 6in X 16ft  Birch","3/8","6","3/8in X 6in X 16ft","Birch",10.8,"bdft","Wood"
"10108ASH","10in X 10in X 8ft  Ash","10","10","10in X 10in X 8ft","Ash",350.0,"bdft","Wood"
"1/21010CHE","1/2in X 10in X 10ft  Cherry","1/2","10","1/2in X 10in X 10ft","Cherry",25.0,"bdft","Wood"
"12128CHE","12in X 12in X 8ft  Cherry","12","12","12in X 12in X 8ft","Cherry",720.0,"bdft","Wood"
"5/864WAL","5/8in X 6in X 4ft  Walnut","5/8","6","5/8in X 6in X 4ft","Walnut",6.21,"bdft","Wood"
"10212OAK","10in X 2in X 12ft  Oak","10","2","10in X 2in X 12ft","Oak",120.0,"bdft","Wood"
"1/284BIR","1/2in X 8in X 4ft  Birch","1/2","8","1/2in X 8in X 4ft","Birch",4.8,"bdft","Wood"
"238WAL","2in X 3in X 8ft  Walnut","2","3","2in X 3in X 8ft","Walnut",21.6,"bdft","Wood"
"10212WAL","10in X 2in X 12ft  Walnut","10","2","10in X 2in X 12ft","Walnut",135.0,"bdft","Wood"
"1/248ASH","1/2in X 4in X 8ft  Ash","1/2","4","1/2in X 4in X 8ft","Ash",5.6,"bdft","Wood"
"5/8612WAL","5/8in X 6in X 12ft  Walnut","5/8","6","5/8in X 6in X 12ft","Walnut",18.63,"bdft","Wood"
"10104PIN","10in X 10in X 4ft  Pine","10","10","10in X 10in X 4ft","Pine",125.0,"bdft","Wood"
"5/4312WAL","5/4in X 3in X 12ft  Walnut","5/4","3","5/4in X 3in X 12ft","Walnut",20.25,"bdft","Wood"
"12128ASH","12in X 12in X 8ft  Ash","12","12","12in X 12in X 8ft","Ash",504.0,"bdft","Wood"
"3/8310OAK","3/8in X 3in X 10ft  Oak","3/8","3","3/8in X 3in X 10ft","Oak",4.5,"bdft","Wood"
"1-1/2612WAL","1-1/2in X 6in X 12ft  Walnut","1-1/2","6","1-1/2in X 6in X 12ft","Walnut",48.6,"bdft","Wood"
"1238CHE","12in X 3in X 8ft  Cherry","12","3","12in X 3in X 8ft","Cherry",180.0,"bdft","Wood"
"3/4810OAK","3/4in X 8in X 10ft  Oak","3/4","8","3/4in X 8in X 10ft","Oak",24.0,"bdft","Wood"
"6210ASH","6in X 2in X 10ft  Ash","6","2","6in X 2in X 10ft","Ash",52.5,"bdft","Wood"
"3/4812PIN","3/4in X 8in X 12ft  Pine","3/4","8","3/4in X 8in X 12ft","Pine",18.0,"bdft","Wood"
"10108WAL","10in X 10in X 8ft  Walnut","10","10","10in X 10in X 8ft","Walnut",450.0,"bdft","Wood"
"10412BIR","10in X 4in X 12ft  Birch","10","4","10in X 4in X 12ft","Birch",180.0,"bdft","Wood"
"1316BIR","1in X 3in X 16ft  Birch","1","3","1in X 3in X 16ft","Birch",14.4,"bdft","Wood"
"3/41216WAL","3/4in X 12in X 16ft  Walnut","3/4","12","3/4in X 12in X 16ft","Walnut",64.8,"bdft","Wood"
"1/2610PIN","1/2in X 6in X 10ft  Pine","1/2","6","1/2in X 6in X 10ft","Pine",7.5,"bdft","Wood"
"61210OAK","6in X 12in X 10ft  Oak","6","12","6in X 12in X 10ft","Oak",360.0,"bdft","Wood"
"3/848BIR","3/8in X 4in X 8ft  Birch","3/8","4","3/8in X 4in X 8ft","Birch",3.6,"bdft","Wood"
"1-1/2816CHE","1-1/2in X 8in X 16ft  Cherry","1-1/2","8","1-1/2in X 8in X 16ft","Cherry",96.0,"bdft","Wood"
"2610PIN","2in X 6in X 10ft  Pine","2","6","2in X 6in X 10ft","Pine",30.0,"bdft","Wood"
"3/41210BIR","3/4in X 12in X 10ft  Birch","3/4","12","3/4in X 12in X 10ft","Birch",27.0,"bdft","Wood"
"1234BIR","12in X 3in X 4ft  Birch","12","3","12in X 3in X 4ft","Birch",54.0,"bdft","Wood"
"NC3/4","Common Nail 3/4in",,,"3/4in","Common Nail",0.0375,"ea","Nails"
"1034PIN","10in X 3in X 4ft  Pine","10","3","10in X 3in X 4ft","Pine",37.5,"bdft","Wood"
"1610OAK","1in X 6in X 10ft  Oak","1","6","1in X 6in X 10ft","Oak",24.0,"bdft","Wood"
"3/4124WAL","3/4in X 12in X 4ft  Walnut","3/4","12","3/4in X 12in X 4ft","Walnut",16.2,"bdft","Wood"
"1264CHE","12in X 6in X 4ft  Cherry","12","6","12in X 6in X 4ft","Cherry",180.0,"bdft","Wood"
"11210CHE","1in X 12in X 10ft  Cherry","1","12","1in X 12in X 10ft","Cherry",60.0,"bdft","Wood"
"1/41010CHE","1/4in X 10in X 10ft  Cherry","1/4","10","1/4in X 10in X 10ft","Cherry",12.5,"bdft","Wood"
"1-1/21210PIN","1-1/2in X 12in X 10ft  Pine","1-1/2","12","1-1/2in X 12in X 10ft","Pine",45.0,"bdft","Wood"
"5/8616ASH","5/8in X 6in X 16ft  Ash","5/8","6","5/8in X 6in X 16ft","Ash",19.32,"bdft","Wood"
"NOW1/2","Oval Wire Nail 1/2in",,,"1/2in","Oval Wire Nail",0.025,"ea","Nails"
"6108PIN","6in X 10in X 8ft  Pine","6","10","6in X 10in X 8ft","Pine",150.0,"bdft","Wood"
"1/2416BIR","1/2in X 4in X 16ft  Birch","1/2","4","1/2in X 4in X 16ft","Birch",9.6,"bdft","Wood"
"5/838CHE","5/8in X 3in X 8ft  Cherry","5/8","3","5/8in X 3in X 8ft","Cherry",6.9,"bdft","Wood"
"3/81016BIR","3/8in X 10in X 16ft  Birch","3/8","10","3/8in X 10in X 16ft","Birch",18.0,"bdft","Wood"
"5/8124BIR","5/8in X 12in X 4ft  Birch","5/8","12","5/8in X 12in X 4ft","Birch",8.28,"bdft","Wood"
"6410CHE","6in X 4in X 10ft  Cherry","6","4","6in X 4in X 10ft","Cherry",150.0,"bdft","Wood"
"484WAL","4in X 8in X 4ft  Walnut","4","8","4in X 8in X 4ft","Walnut",72.0,"bdft","Wood"
"1-1/21012OAK","1-1/2in X 10in X 12ft  Oak","1-1/2","10","1-1/2in X 10in X 12ft","Oak",72.0,"bdft","Wood"
"5/4412ASH","5/4in X 4in X 12ft  Ash","5/4","4","5/4in X 4in X 12ft","Ash",21.0,"bdft","Wood"
"5/41212BIR","5/4in X 12in X 12ft  Birch","5/4","12","5/4in X 12in X 12ft","Birch",54.0,"bdft","Wood"
"1-1/2216PIN","1-1/2in X 2in X 16ft  Pine","1-1/2","2","1-1/2in X 2in X 16ft","Pine",12.0,"bdft","Wood"
"NF038","Finish Nail 3/8in",,,,,0.0375,"each","Nails"
"1/4316OAK","1/4in X 3in X 16ft  Oak","1/4","3","1/4in X 3in X 16ft","Oak",4.8,"bdft","Wood"
"5/4316CHE","5/4in X 3in X 16ft  Cherry","5/4","3","5/4in X 3in X 16ft","Cherry",30.0,"bdft","Wood"
"148PIN","1in X 4in X 8ft  Pine","1","4","1in X 4in X 8ft","Pine",8.0,"bdft","Wood"
"21012ASH","2in X 10in X 12ft  Ash","2","10","2in X 10in X 12ft","Ash",84.0,"bdft","Wood"
"5/888ASH","5/8in X 8in X 8ft  Ash","5/8","8","5/8in X 8in X 8ft","Ash",12.88,"bdft","Wood"
"5/81010BIR","5/8in X 10in X 10ft  Birch","5/8","10","5/8in X 10in X 10ft","Birch",17.25,"bdft","Wood"
"648CHE","6in X 4in X 8ft  Cherry","6","4","6in X 4in X 8ft","Cherry",120.0,"bdft","Wood"
"1248WAL","12in X 4in X 8ft  Walnut","12","4","12in X 4in X 8ft","Walnut",216.0,"bdft","Wood"
"628CHE","6in X 2in X 8ft  Cherry","6","2","6in X 2in X 8ft","Cherry",60.0,"bdft","Wood"
"1-1/234CHE","1-1/2in X 3in X 4ft  Cherry","1-1/2","3","1-1/2in X 3in X 4ft","Cherry",9.0,"bdft","Wood"
"121212BIR","12in X 12in X 12ft  Birch","12","12","12in X 12in X 12ft","Birch",648.0,"bdft","Wood"
"3/448CHE","3/4in X 4in X 8ft  Cherry","3/4","4","3/4in X 4in X 8ft","Cherry",12.0,"bdft","Wood"
"1024PIN","10in X 2in X 4ft  Pine","10","2","10in X 2in X 4ft","Pine",25.0,"bdft","Wood"
"1610BIR","1in X 6in X 10ft  Birch","1","6","1in X 6in X 10ft","Birch",18.0,"bdft","Wood"
"1044CHE","10in X 4in X 4ft  Cherry","10","4","10in X 4in X 4ft","Cherry",100.0,"bdft","Wood"
"264PIN","2in X 6in X 4ft  Pine","2","6","2in X 6in X 4ft","Pine",12.0,"bdft","Wood"
"1/41212OAK","1/4in X 12in X 12ft  Oak","1/4","12","1/4in X 12in X 12ft","Oak",14.4,"bdft","Wood"
"1/2810OAK","1/2in X 8in X 10ft  Oak","1/2","8","1/2in X 8in X 10ft","Oak",16.0,"bdft","Wood"
"1-1/21210OAK","1-1/2in X 12in X 10ft  Oak","1-1/2","12","1-1/2in X 12in X 10ft","Oak",72.0,"bdft","Wood"
"12124WAL","12in X 12in X 4ft  Walnut","12","12","12in X 12in X 4ft","Walnut",324.0,"bdft","Wood"
"1/4616PIN","1/4in X 6in X 16ft  Pine","1/4","6","1/4in X 6in X 16ft","Pine",6.0,"bdft","Wood"
"5/41210OAK","5/4in X 12in X 10ft  Oak","5/4","12","5/4in X 12in X 10ft","Oak",60.0,"bdft","Wood"
"12312OAK","12in X 3in X 12ft  Oak","12","3","12in X 3in X 12ft","Oak",216.0,"bdft","Wood"
"1/2312BIR","1/2in X 3in X 12ft  Birch","1/2","3","1/2in X 3in X 12ft","Birch",5.4,"bdft","Wood"
"5/8810ASH","5/8in X 8in X 10ft  Ash","5/8","8","5/8in X 8in X 10ft","Ash",16.1,"bdft","Wood"
"12104ASH","12in X 10in X 4ft  Ash","12","10","12in X 10in X 4ft","Ash",210.0,"bdft","Wood"
"1-1/21212WAL","1-1/2in X 12in X 12ft  Walnut","1-1/2","12","1-1/2in X 12in X 12ft","Walnut",97.2,"bdft","Wood"
"21210CHE","2in X 12in X 10ft  Cherry","2","12","2in X 12in X 10ft","Cherry",120.0,"bdft","Wood"
"21210BIR","2in X 12in X 10ft  Birch","2","12","2in X 12in X 10ft","Birch",72.0,"bdft","Wood"
"10312BIR","10in X 3in X 12ft  Birch","10","3","10in X 3in X 12ft","Birch",135.0,"bdft","Wood"
"5/8310PIN","5/8in X 3in X 10ft  Pine","5/8","3","5/8in X 3in X 10ft","Pine",4.3125,"bdft","Wood"
"3/848PIN","3/8in X 4in X 8ft  Pine","3/8","4","3/8in X 4in X 8ft","Pine",3.0,"bdft","Wood"
"61210BIR","6in X 12in X 10ft  Birch","6","12","6in X 12in X 10ft","Birch",270.0,"bdft","Wood"
"5/8104BIR","5/8in X 10in X 4ft  Birch","5/8","10","5/8in X 10in X 4ft","Birch",6.9,"bdft","Wood"
"2816ASH","2in X 8in X 16ft  Ash","2","8","2in X 8in X 16ft","Ash",89.6,"bdft","Wood"
"5/464CHE","5/4in X 6in X 4ft  Cherry","5/4","6","5/4in X 6in X 4ft","Cherry",15.0,"bdft","Wood"
"5/8416PIN","5/8in X 4in X 16ft  Pine","5/8","4","5/8in X 4in X 16ft","Pine",9.2,"bdft","Wood"
"4616PIN","4in X 6in X 16ft  Pine","4","6","4in X 6in X 16ft","Pine",120.0,"bdft","Wood"
"101016OAK","10in X 10in X 16ft  Oak","10","10","10in X 10in X 16ft","Oak",800.0,"bdft","Wood"
"1-1/2212WAL","1-1/2in X 2in X 12ft  Walnut","1-1/2","2","1-1/2in X 2in X 12ft","Walnut",16.2,"bdft","Wood"
"2212OAK","2in X 2in X 12ft  Oak","2","2","2in X 2in X 12ft","Oak",19.2,"bdft","Wood"
"3/468CHE","3/4in X 6in X 8ft  Cherry","3/4","6","3/4in X 6in X 8ft","Cherry",18.0,"bdft","Wood"
"21216WAL","2in X 12in X 16ft  Walnut","2","12","2in X 12in X 16ft","Walnut",172.8,"bdft","Wood"
"5/8810BIR","5/8in X 8in X 10ft  Birch","5/8","8","5/8in X 8in X 10ft","Birch",13.8,"bdft","Wood"
"2210CHE","2in X 2in X 10ft  Cherry","2","2","2in X 2in X 10ft","Cherry",20.0,"bdft","Wood"
"1/484BIR","1/4in X 8in X 4ft  Birch","1/4","8","1/4in X 8in X 4ft","Birch",2.4,"bdft","Wood"
"5/8128CHE","5/8in X 12in X 8ft  Cherry","5/8","12","5/8in X 12in X 8ft","Cherry",27.6,"bdft","Wood"
"ADHWDE","Wood Adhesive Exterior",,,"1oz","Wood Adhesive",0.3,"ea","Adhesive"
"5/4128CHE","5/4in X 12in X 8ft  Cherry","5/4","12","5/4in X 12in X 8ft","Cherry",60.0,"bdft","Wood"
"5/4412OAK","5/4in X 4in X 12ft  Oak","5/4","4","5/4in X 4in X 12ft","Oak",24.0,"bdft","Wood"
"5/884BIR","5/8in X 8in X 4ft  Birch","5/8","8","5/8in X 8in X 4ft","Birch",5.52,"bdft","Wood"
"10812PIN","10in X 8in X 12ft  Pine","10","8","10in X 8in X 12ft","Pine",300.0,"bdft","Wood"
"5/4816ASH","5/4in X 8in X 16ft  Ash","5/4","8","5/4in X 8in X 16ft","Ash",56.0,"bdft","Wood"
"3/4412ASH","3/4in X 4in X 12ft  Ash","3/4","4","3/4in X 4in X 12ft","Ash",12.6,"bdft","Wood"
"101212ASH","10in X 12in X 12ft  Ash","10","12","10in X 12in X 12ft","Ash",630.0,"bdft","Wood"
"1-1/2128BIR","1-1/2in X 12in X 8ft  Birch","1-1/2","12","1-1/2in X 12in X 8ft","Birch",43.2,"bdft","Wood"
"5/8128WAL","5/8in X 12in X 8ft  Walnut","5/8","12","5/8in X 12in X 8ft","Walnut",24.84,"bdft","Wood"
"664WAL","6in X 6in X 4ft  Walnut","6","6","6in X 6in X 4ft","Walnut",81.0,"bdft","Wood"
"1264ASH","12in X 6in X 4ft  Ash","12","6","12in X 6in X 4ft","Ash",126.0,"bdft","Wood"
"1-1/2104ASH","1-1/2in X 10in X 4ft  Ash","1-1/2","10","1-1/2in X 10in X 4ft","Ash",21.0,"bdft","Wood"
"144OAK","1in X 4in X 4ft  Oak","1","4","1in X 4in X 4ft","Oak",6.4,"bdft","Wood"
"1/2212PIN","1/2in X 2in X 12ft  Pine","1/2","2","1/2in X 2in X 12ft","Pine",3.0,"bdft","Wood"
"288OAK","2in X 8in X 8ft  Oak","2","8","2in X 8in X 8ft","Oak",51.2,"bdft","Wood"
"5/8212ASH","5/8in X 2in X 12ft  Ash","5/8","2","5/8in X 2in X 12ft","Ash",4.83,"bdft","Wood"
"2412WAL","2in X 4in X 12ft  Walnut","2","4","2in X 4in X 12ft","Walnut",43.2,"bdft","Wood"
"1/2810ASH","1/2in X 8in X 10ft  Ash","1/2","8","1/2in X 8in X 10ft","Ash",14.0,"bdft","Wood"
"5/828WAL","5/8in X 2in X 8ft  Walnut","5/8","2","5/8in X 2in X 8ft","Walnut",4.14,"bdft","Wood"
"5/828CHE","5/8in X 2in X 8ft  Cherry","5/8","2","5/8in X 2in X 8ft","Cherry",4.6,"bdft","Wood"
"5/868ASH","5/8in X 6in X 8ft  Ash","5/8","6","5/8in X 6in X 8ft","Ash",9.66,"bdft","Wood"
"10124PIN","10in X 12in X 4ft  Pine","10","12","10in X 12in X 4ft","Pine",150.0,"bdft","Wood"
"1/264WAL","1/2in X 6in X 4ft  Walnut","1/2","6","1/2in X 6in X 4ft","Walnut",5.4,"bdft","Wood"
"1-1/2128PIN","1-1/2in X 12in X 8ft  Pine","1-1/2","12","1-1/2in X 12in X 8ft","Pine",36.0,"bdft","Wood"
"1/4416PIN","1/4in X 4in X 16ft  Pine","1/4","4","1/4in X 4in X 16ft","Pine",4.0,"bdft","Wood"
"5/41216OAK","5/4in X 12in X 16ft  Oak","5/4","12","5/4in X 12in X 16ft","Oak",96.0,"bdft","Wood"
"3/434WAL","3/4in X 3in X 4ft  Walnut","3/4","3","3/4in X 3in X 4ft","Walnut",4.05,"bdft","Wood"
"61016CHE","6in X 10in X 16ft  Cherry","6","10","6in X 10in X 16ft","Cherry",600.0,"bdft","Wood"
"1128OAK","1in X 12in X 8ft  Oak","1","12","1in X 12in X 8ft","Oak",38.4,"bdft","Wood"
"1/2412BIR","1/2in X 4in X 12ft  Birch","1/2","4","1/2in X 4in X 12ft","Birch",7.2,"bdft","Wood"
"101216OAK","10in X 12in X 16ft  Oak","10","12","10in X 12in X 16ft","Oak",960.0,"bdft","Wood"
"12124BIR","12in X 12in X 4ft  Birch","12","12","12in X 12in X 4ft","Birch",216.0,"bdft","Wood"
"3/81216BIR","3/8in X 12in X 16ft  Birch","3/8","12","3/8in X 12in X 16ft","Birch",21.6,"bdft","Wood"
"1/484OAK","1/4in X 8in X 4ft  Oak","1/4","8","1/4in X 8in X 4ft","Oak",3.2,"bdft","Wood"
"3/81012BIR","3/8in X 10in X 12ft  Birch","3/8","10","3/8in X 10in X 12ft","Birch",13.5,"bdft","Wood"
"5/848WAL","5/8in X 4in X 8ft  Walnut","5/8","4","5/8in X 4in X 8ft","Walnut",8.28,"bdft","Wood"
"101012PIN","10in X 10in X 12ft  Pine","10","10","10in X 10in X 12ft","Pine",375.0,"bdft","Wood"
"1810PIN","1in X 8in X 10ft  Pine","1","8","1in X 8in X 10ft","Pine",20.0,"bdft","Wood"
"3/8310WAL","3/8in X 3in X 10ft  Walnut","3/8","3","3/8in X 3in X 10ft","Walnut",5.0625,"bdft","Wood"
"3/8812OAK","3/8in X 8in X 12ft  Oak","3/8","8","3/8in X 8in X 12ft","Oak",14.4,"bdft","Wood"
"5/41212WAL","5/4in X 12in X 12ft  Walnut","5/4","12","5/4in X 12in X 12ft","Walnut",81.0,"bdft","Wood"
"1/228PIN","1/2in X 2in X 8ft  Pine","1/2","2","1/2in X 2in X 8ft","Pine",2.0,"bdft","Wood"
"128BIR","1in X 2in X 8ft  Birch","1","2","1in X 2in X 8ft","Birch",4.8,"bdft","Wood"
"11216OAK","1in X 12in X 16ft  Oak","1","12","1in X 12in X 16ft","Oak",76.8,"bdft","Wood"
"2316OAK","2in X 3in X 16ft  Oak","2","3","2in X 3in X 16ft","Oak",38.4,"bdft","Wood"
"12416PIN","12in X 4in X 16ft  Pine","12","4","12in X 4in X 16ft","Pine",240.0,"bdft","Wood"
"1/264ASH","1/2in X 6in X 4ft  Ash","1/2","6","1/2in X 6in X 4ft","Ash",4.2,"bdft","Wood"
"1038PIN","10in X 3in X 8ft  Pine","10","3","10in X 3in X 8ft","Pine",75.0,"bdft","Wood"
"3/828OAK","3/8in X 2in X 8ft  Oak","3/8","2","3/8in X 2in X 8ft","Oak",2.4,"bdft","Wood"
"NST014","Staples 1/4in",,,,,0.025,"each","Nails"
"6612WAL","6in X 6in X 12ft  Walnut","6","6","6in X 6in X 12ft","Walnut",243.0,"bdft","Wood"
"1-1/2410OAK","1-1/2in X 4in X 10ft  Oak","1-1/2","4","1-1/2in X 4in X 10ft","Oak",24.0,"bdft","Wood"
"10412OAK","10in X 4in X 12ft  Oak","10","4","10in X 4in X 12ft","Oak",240.0,"bdft","Wood"
"5/4216PIN","5/4in X 2in X 16ft  Pine","5/4","2","5/4in X 2in X 16ft","Pine",10.0,"bdft","Wood"
"5/438OAK","5/4in X 3in X 8ft  Oak","5/4","3","5/4in X 3in X 8ft","Oak",12.0,"bdft","Wood"
"5/4616WAL","5/4in X 6in X 16ft  Walnut","5/4","6","5/4in X 6in X 16ft","Walnut",54.0,"bdft","Wood"
"2416BIR","2in X 4in X 16ft  Birch","2","4","2in X 4in X 16ft","Birch",38.4,"bdft","Wood"
"4816WAL","4in X 8in X 16ft  Walnut","4","8","4in X 8in X 16ft","Walnut",288.0,"bdft","Wood"
"4810ASH","4in X 8in X 10ft  Ash","4","8","4in X 8in X 10ft","Ash",140.0,"bdft","Wood"
"1/284OAK","1/2in X 8in X 4ft  Oak","1/2","8","1/2in X 8in X 4ft","Oak",6.4,"bdft","Wood"
"NF112","Finish Nail 1-1/2in",,,,,0.15,"each","Nails"
"12810CHE","12in X 8in X 10ft  Cherry","12","8","12in X 8in X 10ft","Cherry",600.0,"bdft","Wood"
"1/2104PIN","1/2in X 10in X 4ft  Pine","1/2","10","1/2in X 10in X 4ft","Pine",5.0,"bdft","Wood"
"1-1/228WAL","1-1/2in X 2in X 8ft  Walnut","1-1/2","2","1-1/2in X 2in X 8ft","Walnut",10.8,"bdft","Wood"
"1248BIR","12in X 4in X 8ft  Birch","12","4","12in X 4in X 8ft","Birch",144.0,"bdft","Wood"
"644WAL","6in X 4in X 4ft  Walnut","6","4","6in X 4in X 4ft","Walnut",54.0,"bdft","Wood"
"5/8810OAK","5/8in X 8in X 10ft  Oak","5/8","8","5/8in X 8in X 10ft","Oak",18.4,"bdft","Wood"
"1-1/2812CHE","1-1/2in X 8in X 12ft  Cherry","1-1/2","8","1-1/2in X 8in X 12ft","Cherry",72.0,"bdft","Wood"
"1-1/2416OAK","1-1/2in X 4in X 16ft  Oak","1-1/2","4","1-1/2in X 4in X 16ft","Oak",38.4,"bdft","Wood"
"5/8316BIR","5/8in X 3in X 16ft  Birch","5/8","3","5/8in X 3in X 16ft","Birch",8.28,"bdft","Wood"
"1/234OAK","1/2in X 3in X 4ft  Oak","1/2","3","1/2in X 3in X 4ft","Oak",2.4,"bdft","Wood"
"1084ASH","10in X 8in X 4ft  Ash","10","8","10in X 8in X 4ft","Ash",140.0,"bdft","Wood"
"1/21212BIR","1/2in X 12in X 12ft  Birch","1/2","12","1/2in X 12in X 12ft","Birch",21.6,"bdft","Wood"
"1108OAK","1in X 10in X 8ft  Oak","1","10","1in X 10in X 8ft","Oak",32.0,"bdft","Wood"
"NUT3/4","Upholstery Tack 3/4in",,,"3/4in","Upholstery Tack",0.0375,"ea","Nails"
"5/4128WAL","5/4in X 12in X 8ft  Walnut","5/4","12","5/4in X 12in X 8ft","Walnut",54.0,"bdft","Wood"
"1-1/238PIN","1-1/2in X 3in X 8ft  Pine","1-1/2","3","1-1/2in X 3in X 8ft","Pine",9.0,"bdft","Wood"
"3/4128OAK","3/4in X 12in X 8ft  Oak","3/4","12","3/4in X 12in X 8ft","Oak",28.8,"bdft","Wood"
"488PIN","4in X 8in X 8ft  Pine","4","8","4in X 8in X 8ft","Pine",80.0,"bdft","Wood"
"1616OAK","1in X 6in X 16ft  Oak","1","6","1in X 6in X 16ft","Oak",38.4,"bdft","Wood"
"10816CHE","10in X 8in X 16ft  Cherry","10","8","10in X 8in X 16ft","Cherry",800.0,"bdft","Wood"
"1/4316WAL","1/4in X 3in X 16ft  Walnut","1/4","3","1/4in X 3in X 16ft","Walnut",5.4,"bdft","Wood"
"1-1/2812WAL","1-1/2in X 8in X 12ft  Walnut","1-1/2","8","1-1/2in X 8in X 12ft","Walnut",64.8,"bdft","Wood"
"4310CHE","4in X 3in X 10ft  Cherry","4","3","4in X 3in X 10ft","Cherry",75.0,"bdft","Wood"
"ADHWDI","Wood Adhesive Interior",,,"1oz","Wood Adhesive",0.25,"ea","Adhesive"
"1-1/2124WAL","1-1/2in X 12in X 4ft  Walnut","1-1/2","12","1-1/2in X 12in X 4ft","Walnut",32.4,"bdft","Wood"
"1/2312OAK","1/2in X 3in X 12ft  Oak","1/2","3","1/2in X 3in X 12ft","Oak",7.2,"bdft","Wood"
"1/4610ASH","1/4in X 6in X 10ft  Ash","1/4","6","1/4in X 6in X 10ft","Ash",5.25,"bdft","Wood"
"NST1-1/4","Staples 1-1/4in",,,"1-1/4in","Staples",0.0625,"ea","Nails"
"NOW112","Oval Wire Nail 1-1/2in",,,,,0.15,"each","Nails"
"1/424OAK","1/4in X 2in X 4ft  Oak","1/4","2","1/4in X 2in X 4ft","Oak",0.8,"bdft","Wood"
"1/224BIR","1/2in X 2in X 4ft  Birch","1/2","2","1/2in X 2in X 4ft","Birch",1.2,"bdft","Wood"
"10104ASH","10in X 10in X 4ft  Ash","10","10","10in X 10in X 4ft","Ash",175.0,"bdft","Wood"
"12612OAK","12in X 6in X 12ft  Oak","12","6","12in X 6in X 12ft","Oak",432.0,"bdft","Wood"
"1/444BIR","1/4in X 4in X 4ft  Birch","1/4","4","1/4in X 4in X 4ft","Birch",1.2,"bdft","Wood"
"3/8216PIN","3/8in X 2in X 16ft  Pine","3/8","2","3/8in X 2in X 16ft","Pine",3.0,"bdft","Wood"
"1-1/2612PIN","1-1/2in X 6in X 12ft  Pine","1-1/2","6","1-1/2in X 6in X 12ft","Pine",27.0,"bdft","Wood"
"4128WAL","4in X 12in X 8ft  Walnut","4","12","4in X 12in X 8ft","Walnut",216.0,"bdft","Wood"
"6212BIR","6in X 2in X 12ft  Birch","6","2","6in X 2in X 12ft","Birch",54.0,"bdft","Wood"
"1-1/2816OAK","1-1/2in X 8in X 16ft  Oak","1-1/2","8","1-1/2in X 8in X 16ft","Oak",76.8,"bdft","Wood"
"5/4310BIR","5/4in X 3in X 10ft  Birch","5/4","3","5/4in X 3in X 10ft","Birch",11.25,"bdft","Wood"
"3/8124CHE","3/8in X 12in X 4ft  Cherry","3/8","12","3/8in X 12in X 4ft","Cherry",9.0,"bdft","Wood"
"1/2316PIN","1/2in X 3in X 16ft  Pine","1/2","3","1/2in X 3in X 16ft","Pine",6.0,"bdft","Wood"
"1/21010WAL","1/2in X 10in X 10ft  Walnut","1/2","10","1/2in X 10in X 10ft","Walnut",22.5,"bdft","Wood"
"1-1/234ASH","1-1/2in X 3in X 4ft  Ash","1-1/2","3","1-1/2in X 3in X 4ft","Ash",6.3,"bdft","Wood"
"3/81216PIN","3/8in X 12in X 16ft  Pine","3/8","12","3/8in X 12in X 16ft","Pine",18.0,"bdft","Wood"
"234ASH","2in X 3in X 4ft  Ash","2","3","2in X 3in X 4ft","Ash",8.4,"bdft","Wood"
"1-1/21016CHE","1-1/2in X 10in X 16ft  Cherry","1-1/2","10","1-1/2in X 10in X 16ft","Cherry",120.0,"bdft","Wood"
"5/434CHE","5/4in X 3in X 4ft  Cherry","5/4","3","5/4in X 3in X 4ft","Cherry",7.5,"bdft","Wood"
